Coeff name,Lower bound,Upper bound
m1,0,6
m2,0,6
m3,0,6
m4,0,6
m5,0,6
m6,0,6
m7,0,6
c1x,-0.05,0.05
c1y,-0.2,0.05
c1z,-0.1,0.1
c2x,-0.05,0.05
c2y,-0.1,0.1
c2z,-0.05,0.2
c3x,-0.05,0.05
c3y,-0.05,0.2
c3z,-0.1,0.1
c4x,-0.05,0.05
c4y,-0.1,0.1
c4z,-0.05,0.2
c5x,-0.05,0.05
c5y,-0.2,0.05
c5z,-0.1,0.1
c6x,-0.05,0.05
c6y,-0.1,0.1
c6z,-0.1,0.1
c7x,-0.05,0.05
c7y,-0.05,0.05
c7z,0.05,0.1
I1xx,0,0.05
I1xy,-0.005,0.005
I1xz,-0.005,0.005
I1yy,0,0.05
I1yz,-0.005,0.005
I1zz,0,0.05
I2xx,0,0.05
I2xy,-0.005,0.005
I2xz,-0.005,0.005
I2yy,0,0.05
I2yz,-0.005,0.005
I2zz,0,0.05
I3xx,0,0.05
I3xy,-0.005,0.005
I3xz,-0.005,0.005
I3yy,0,0.05
I3yz,-0.005,0.005
I3zz,0,0.05
I4xx,0,0.05
I4xy,-0.005,0.005
I4xz,-0.005,0.005
I4yy,0,0.05
I4yz,-0.005,0.005
I4zz,0,0.05
I5xx,0,0.05
I5xy,-0.005,0.005
I5xz,-0.005,0.005
I5yy,0,0.05
I5yz,-0.005,0.005
I5zz,0,0.05
I6xx,0,0.01
I6xy,-0.002,0.002
I6xz,-0.002,0.002
I6yy,0,0.01
I6yz,-0.002,0.002
I6zz,0,0.01
I7xx,0,0.005
I7xy,-0.0005,0.0005
I7xz,-0.0005,0.0005
I7yy,0,0.005
I7yz,-0.0005,0.0005
I7zz,0,0.005
fv1,0,1
fv2,0,1
fv3,0,1
fv4,0,1
fv5,0,1
fv6,0,1
fv7,0,1
fc1,0,1
fc2,0,1
fc3,0,1
fc4,0,1
fc5,0,1
fc6,0,1
fc7,0,1
fo1,-1,1
fo2,-1,1
fo3,-1,1
fo4,-1,1
fo5,-1,1
fo6,-1,1
fo7,-1,1